title,placeUrl,website,rating,reviewCount,category,address,phoneNumber,searchQuery
Johnny's Carryout,https://www.google.com/maps/place/Johnny%27s+Carryout/data=!4m7!3m6!1s0x89b7c81890e47abf:0x1119e1b0cf6d362a!8m2!3d38.933297!4d-77.032396!16s%2Fg%2F1tfh_g_4!19sChIJv3rkkBjIt4kRKjZtz7DhGRE,,4.3,149,Chinese restaurant,"3445 14th St NW #1, Washington, DC 20010, United States",+1 202-667-1761,"https://www.google.com/maps/search/carryout+in+washington+dc/@38.9180495,-77.0714256,12z/data=!3m1!4b1"
Eddie's Carry Out,https://www.google.com/maps/place/Eddie%27s+Carry+Out/data=!4m7!3m6!1s0x89b7b86f0302f355:0xb4ec4b0431953bfd!8m2!3d38.9069945!4d-76.9785638!16s%2Fg%2F1v9gkx41!19sChIJVfMCA2-4t4kR_TuVMQRL7LQ,http://www.eddiessince1955.com/?utm_source=gmb&utm_medium=website,3.8,654,Sandwich shop,"1251 Bladensburg Rd NE, Washington, DC 20002, United States",+1 202-399-1725,"https://www.google.com/maps/search/carryout+in+washington+dc/@38.9180495,-77.0714256,12z/data=!3m1!4b1"
Yum's Carryout,https://www.google.com/maps/place/Yum%27s+Carryout/data=!4m7!3m6!1s0x89b7c86555ac514f:0x191b494857779027!8m2!3d38.9562523!4d-77.0221402!16s%2Fg%2F1td2ht45!19sChIJT1GsVWXIt4kRJ5B3V0hJGxk,http://yumscarryoutonline.com/,3.9,88,Chinese takeaway,"628 Kennedy St NW, Washington, DC 20011, United States",+1 202-291-6618,"https://www.google.com/maps/search/carryout+in+washington+dc/@38.9180495,-77.0714256,12z/data=!3m1!4b1"
Mandarin Carry-Out,https://www.google.com/maps/place/Mandarin+Carry-Out/data=!4m7!3m6!1s0x89b7b848fb5cda31:0xad75194c88b02228!8m2!3d38.8879101!4d-76.9838584!16s%2Fg%2F1td3mh04!19sChIJMdpc-0i4t4kRKCKwiEwZda0,http://www.mandarincarryout.com/?utm_source=gmb&utm_medium=website,3.7,93,Chinese restaurant,"129 15th St SE, Washington, DC 20003, United States",+1 202-547-3905,"https://www.google.com/maps/search/carryout+in+washington+dc/@38.9180495,-77.0714256,12z/data=!3m1!4b1"
Eastern Carry Out,https://www.google.com/maps/place/Eastern+Carry+Out/data=!4m7!3m6!1s0x89b7b7c4d18d1527:0xfe60322719fb2827!8m2!3d38.9167199!4d-77.0413681!16s%2Fg%2F1tdq_l_5!19sChIJJxWN0cS3t4kRJyj7GScyYP4,https://www.easterncarryout.net/,3,97,Chinese restaurant,"1784 Florida Ave NW, Washington, DC 20009, United States",+1 202-483-1931,"https://www.google.com/maps/search/carryout+in+washington+dc/@38.9180495,-77.0714256,12z/data=!3m1!4b1"
Kenny's Carry Out,https://www.google.com/maps/place/Kenny%27s+Carry+Out/data=!4m7!3m6!1s0x89b7c87a84faa0b9:0xfd48b86a34d834af!8m2!3d38.956181!4d-77.019545!16s%2Fg%2F1tjtk4tq!19sChIJuaD6hHrIt4kRrzTYNGq4SP0,https://www.kennysdc.com/,3.8,131,Chinese restaurant,"5427 5th St NW, Washington, DC 20011, United States",+1 202-545-8890,"https://www.google.com/maps/search/carryout+in+washington+dc/@38.9180495,-77.0714256,12z/data=!3m1!4b1"
Grand China Carryout,https://www.google.com/maps/place/Grand+China+Carryout/data=!4m7!3m6!1s0x89b7b9d639bf5c3d:0xc26f66a14908f6ad!8m2!3d38.876018!4d-77.009462!16s%2Fg%2F1tdc1jnk!19sChIJPVy_Oda5t4kRrfYISaFmb8I,,3.4,290,Chinese restaurant,"1201 S Capitol St SW, Washington, DC 20003, United States",+1 202-554-8203,"https://www.google.com/maps/search/carryout+in+washington+dc/@38.9180495,-77.0714256,12z/data=!3m1!4b1"
Hong Kong Carryout,https://www.google.com/maps/place/Hong+Kong+Carryout/data=!4m7!3m6!1s0x89b7b8489e267d43:0x50b82bea85080f48!8m2!3d38.8900854!4d-76.983253!16s%2Fg%2F1tjs5v0x!19sChIJQ30mnki4t4kRSA8IheoruFA,,4.1,185,Hong Kong style fast food restaurant,"1506 East Capitol St NE, Washington, DC 20003, United States",+1 202-546-5528,"https://www.google.com/maps/search/carryout+in+washington+dc/@38.9180495,-77.0714256,12z/data=!3m1!4b1"
Full Yum Carry Out,https://www.google.com/maps/place/Full+Yum+Carry+Out/data=!4m7!3m6!1s0x89b7b81dbfb157c7:0xb54fc7ac7e9b6de!8m2!3d38.9097817!4d-77.0088286!16s%2Fg%2F1262s87x9!19sChIJx1exvx24t4kR3rbpx3r8VAs,,3.9,194,Chinese restaurant,"1501 North Capitol St NE, Washington, DC 20002, United States",+1 202-832-0637,"https://www.google.com/maps/search/carryout+in+washington+dc/@38.9180495,-77.0714256,12z/data=!3m1!4b1"
Jerry's Carry Out,https://www.google.com/maps/place/Jerry%27s+Carry+Out/data=!4m7!3m6!1s0x89b7b7e52d5dd20b:0x5f7f0363d089c648!8m2!3d38.9168966!4d-77.0221815!16s%2Fg%2F1v29cxxs!19sChIJC9JdLeW3t4kRSMaJ0GMDf18,http://jerryscarryout.com/,4,378,Chinese restaurant,"2016 Georgia Ave NW, Washington, DC 20001, United States",+1 202-462-8740,"https://www.google.com/maps/search/carryout+in+washington+dc/@38.9180495,-77.0714256,12z/data=!3m1!4b1"
